id,term,location,jobposition,department,agency,dateposted,link
352,Full-time,"Hawthorne, CA",Manufacturing Engineer (Composites),Manufacturing and Production - Engineering,SpaceX,03-10-2015,http://hire.jobvite.com/CompanyJobs/Apply.aspx?c=qz49Vfwr&j=onKf0fw6&nl=0
353,Full-time,"Hawthorne, CA",Integration & Test Engineer (Dragon Spacecraft),Manufacturing and Production - Engineering,SpaceX,03-10-2015,http://hire.jobvite.com/CompanyJobs/Apply.aspx?c=qz49Vfwr&j=oDNdZfwm&nl=0
18765,Call-In,"Puyallup, WA",Power Systems Project Engineer - FAA Experience,Miscellaneous Engineering,Lockheed Martin,04-01-2015,http://www.applytracking.com/track.aspx/1GO94
2875,Full-time,"Hanover, MD",Principle Systems Engineer,Systems Engineering: Other,Lockheed Martin,03-13-2015,http://www.applytracking.com/track.aspx/1AmGC
2891,Full-Time,"Littleton, CO",Commercial Business Development Manager,Business Development,Lockheed Martin,03-13-2015,http://www.applytracking.com/track.aspx/14gpY
2907,Full-Time,"Orlando, FL",Senior Software Eng / C++ / Flight Sim / Weapons Systems,Software Engineering,Lockheed Martin,03-13-2015,http://www.applytracking.com/track.aspx/1615Y
511,Full-time,"Hawthorne, CA",Avionics Test Engineer,Avionics - Hardware Design,SpaceX,03-10-2015,http://hire.jobvite.com/CompanyJobs/Apply.aspx?c=qz49Vfwr&j=omJg0fw5&nl=0
18474,Full-Time,"Littleton, CO",Software Engineer Stf,Software Engineering,Lockheed Martin,04-01-2015,http://www.applytracking.com/track.aspx/1GR6I
18766,Full-Time,"Melbourne, FL",Electronic Field Engineer,Technicians,Lockheed Martin,04-01-2015,http://www.applytracking.com/track.aspx/1GQUY
2923,Full-Time,"Littleton, CO",Software Engineer Sr,Software Engineering,Lockheed Martin,03-13-2015,http://www.applytracking.com/track.aspx/18h0y
2083,Seasonal,"Huntsville, Alabama",Museum Guide,Museum,U.S. Space & Rocket Center Foundation,03-12-2015,https://spacecampfoundation.applicantstack.com/x/apply/a2i23046ujgp
2924,Full-Time,"Aurora, CO","Office Space Planner - Aurora, CO",Facilities,Lockheed Martin,03-13-2015,http://www.applytracking.com/track.aspx/18ru8
2084,Seasonal,"Huntsville, Alabama",Kitchen Cook ,Food Service,U.S. Space & Rocket Center Foundation,03-12-2015,https://spacecampfoundation.applicantstack.com/x/apply/a2i2304l9syh
2637,Full-Time,"Beaufort, SC",Sr IT Systems Admin / OMS / COMSEC / F-35 Flight Ops,Systems Engineering: Other,Lockheed Martin,03-13-2015,http://www.applytracking.com/track.aspx/adFI
2669,Full-Time,"Kings Bay, GA",SERVICE MECHANIC ASSOC,Manufacturing,Lockheed Martin,03-13-2015,http://www.applytracking.com/track.aspx/10e1E
2701,Full-Time,"Boulder, CO",Cyber Intel Analyst Asc,Information Security/Information Assurance,Lockheed Martin,03-13-2015,http://www.applytracking.com/track.aspx/mZlE
27447,Full-Time,"Melbourne, FL",Mechanical Field Engineer,Technicians,Lockheed Martin,04-11-2015,http://www.applytracking.com/track.aspx/1I5f0
330,Full-time,"Hawthorne, CA",Production Engineer - Machining,Manufacturing and Production - Engineering,SpaceX,03-10-2015,http://hire.jobvite.com/CompanyJobs/Apply.aspx?c=qz49Vfwr&j=oCI7Yfw9&nl=0
257,Full-time,"Hawthorne, CA",NDT - Level II (Radiographic Testing) - Shooter 2nd Shift,Manufacturing and Production - Quality Assurance,SpaceX,03-10-2015,http://hire.jobvite.com/CompanyJobs/Apply.aspx?c=qz49Vfwr&j=ow25Zfwm&nl=0
1509,Full-Time,"Sunnyvale, CA",Software Engineer Asc,Software Engineering,Lockheed Martin,03-11-2015,http://www.applytracking.com/track.aspx/i5zw
2904,Full-Time,"Kings Bay, GA",PHYSICIAL STANDARDS LAB CALIBRATION TECH SR,Technicians,Lockheed Martin,03-13-2015,http://www.applytracking.com/track.aspx/15oOI
2936,Full-Time,"Moorestown, NJ","Sr Mbr Eng Staff / Java, C++ / SW Apps Dev / 6-12 Yrs Exp",Software Engineering,Lockheed Martin,03-13-2015,http://www.applytracking.com/track.aspx/18z1Q
2704,Full-Time,"Beaufort, SC",Sr IT Systems Admin / OMS / COMSEC / F-35 Flight Ops,Systems Engineering: Other,Lockheed Martin,03-13-2015,http://www.applytracking.com/track.aspx/jVL6
2734,Full-Time,"Littleton, CO",RF Project Engineer Sr Stf,Miscellaneous Engineering,Lockheed Martin,03-13-2015,http://www.applytracking.com/track.aspx/1BY6y
2763,Full-Time,"Yuma, AZ",Systems Administrator Sr,Systems Engineering: Other,Lockheed Martin,03-13-2015,http://www.applytracking.com/track.aspx/IhqW
7669,Full-Time,"Littleton, CA",Strategic Planner Senior,Business Development,Lockheed Martin,03-19-2015,http://www.applytracking.com/track.aspx/qDH0
8658,Full-Time,"Littleton, CO",Software Engineer,Information Technology,Lockheed Martin,03-20-2015,http://www.applytracking.com/track.aspx/1Eh8G
3562,Full-time,"Hawthorne, CA","Human Resource Manager, Supply Chain and Quality",Corporate Operations - Human Resources and Office Support,SpaceX,03-14-2015,http://hire.jobvite.com/CompanyJobs/Apply.aspx?c=qz49Vfwr&j=oDjG0fwm&nl=0
2791,Full-Time,"Littleton, CO",Spacecraft Mechanical Systems Engineer Staff Member,Systems Engineering: Other,Lockheed Martin,03-13-2015,http://www.applytracking.com/track.aspx/16dRI
2830,Full-Time,"Sunnyvale, CA",Software Engineer,Software Engineering,Lockheed Martin,03-13-2015,http://www.applytracking.com/track.aspx/1BdfA
2864,Full-Time,"Littleton, CO",Design Engineer Sr,Electronics Engineering,Lockheed Martin,03-13-2015,http://www.applytracking.com/track.aspx/1A1Xk
